tmdbId,title,overview,cast,director
530157,Pledge,"Three friends pledge a fraternity that's deadly serious about its secret rituals, turning their rush into a race for survival.","Zachery Byrd,Phillip Andre Botello,Aaron Dalla Villa",Daniel Robbins
575314,Blood Bound,"Bound to an ancient pact, a family of unlimited power descend upon a small rural town to sacrifice 4 human lives, one being a member of their own family.","Eden Brolin,Rosa Arredondo,Timothy Hughes",
440444,Piercing,"After kissing his wife and baby goodbye for a seemingly normal business trip, Reed checks himself into a hotel room to accomplish something heâ€™s always dreamed of: the perfect murder. As his sinister plans unfold, he soon realizes he might be in over his head with a mysteriously unhinged call girl named Jackie.","Christopher Abbott,Mia Wasikowska,Laia Costa",
410465,Dry Blood,"In an attempt to kick his drug habit, Brian heads to his cabin and calls upon his friend Anna for help. When he gets there, Brain is harassed by the local sherif and haunted by the ghosts in his cabin.","Clint Carney,Jaymie Valentine,Kelton Jones",Kelton Jones
506353,Killers Within,"With her son being held captive by a criminal gang, police-officer Amanda Doyle, together with her ex-husband and three unlikely allies, takes part in a desperate plot to hold a wealthy banker and his family to ransom. But this is no ordinary family.","Sue Walsh,Jeff Doyle,Johnny Elliott",
484436,Ãnimas,"Abraham and his female friend Ãlex have a close relationship; they share both secrets and fears. When Abraham starts going out with Anchi, he begins to distance himself from Ãlex, who gradually dives into a living hell where she encounters strange apparitions, nightmarish visions and extreme situations.","Clare Durant,IvÃ¡n Pellicer,Luis Bermejo",
463684,Velvet Buzzsaw,"Big money artists and mega-collectors pay a high price when art collides with commerce.Â After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art.","Jake Gyllenhaal,Rene Russo,Zawe Ashton",
483075,Dis,An ex-soldier with a criminal past takes refuge in the woods. A demonic figure seeks the seed of killers and the blood of the damned to feed his mandrake garden. DIS is an infernal descent into the root of the mandrake legend and a man who wanders too close to that legend and the unnamable terror behind it. What you sow you will reap.,"Bill Oberst Jr.,Lori Jo Hendrix,Peter Gonzales Falcon",
532635,The Golem,A re-imagining of the old mystical folklore that follows a woman and a tight-knit Jewish community that is besieged by foreign invaders. She conjures a dangerous creature to protect them but it may be more evil than she ever imagined.,"Hani Furstenberg,Ishai Golan,Alex Tritenko",Yoav Paz
499195,O Clube dos Canibais,"Otavio and Gilda are a very wealthy couple of the Brazilian elite who have the habit of eating their employees. Otavio owns a private security company and is a notable member of The Cannibal Club. When Gilda accidentally discovers a secret from Borges, a powerful congressman and the Clubâ€™s leader, her and her husbandâ€™s lives are in grave danger.","Ana Luiza Rios,Tavinho Teixeira,JosÃ© Maria Alves",
484437,The Hole in the Ground,"Trying to escape her broken past, Sarah Oâ€™Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.","SeÃ¡na Kerslake,James Quinn Markey,Simone Kirby",
463364,The Isle,1840 and another ship crashes on the rocks of an almost deserted island in Scotland. Three sailors survive the wreck and make it to shore where the few locals take them in as they wait for the mainland boat to come for them. But the sailors' survival story has only just started as they uncover the strange past of the once vibrant island.,"Conleth Hill,Alex Hassell,Tori Butler-Hart",Matthew Butler
502406,St. Agatha,"St. Agatha is set in the 1950s in small town Georgia. A pregnant con woman named Agatha is on the run and seeks refuge in a convent hidden in deafening isolation. What first starts out as the perfect place to have a child turns into a dark lair where silence is forced. Ghastly secrets are masked, and every bit of will power Agatha has is tested. She soon learns the sick and twisted truth of the convent and the odd people that lurk inside its halls. Agatha must now find a way to discover the unyielding strength needed to escape and save her baby before sheâ€™s caged behind these walls forever.","Sabrina Kern,Carolyn Hennesy,Courtney Halverson",Darren Lynn Bousman
510284,Braid,"Two drug dealers on the lam seek refuge inside their mentally unstable friendâ€™s mansion. But in order to stay, they have to participate in her elaborate, and increasingly dangerous, game of permanent make-believe.","Madeline Brewer,Imogen Waterhouse,Sarah Hay",
512196,Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.","Jessica Rothe,Israel Broussard,Ruby Modine",
507076,Climax,Young dancers gather in a remote and empty school building to rehearse on a cold and wintry night. The all-night celebration soon turns into a hallucinatory nightmare when they learn that their sangria is laced with LSD.,"Sofia Boutella,Romain Guillermic,Souheila Yacoub",
523593,ë¬¼ê´´,"Ancient Korea, 1506. The tyrannical King Yeonsan-gun of Joseon is overthrown by his half-brother Jung-jong, whose reign begins with a blood bath. Over the years, traitors plot against him, sinking the kingdom into chaos. In 1528, frightened rumors come to royal palace, regarding a mysterious creature, known as Monstrum by the peasants.","Kim Myung-min,Kim In-kwon,Lee Hye-ri",
539549,I'll Take Your Dead,"William has a simple job: he makes dead bodies disappear. His daughter Gloria has become used to rough-looking men dropping off corpses, and is even convinced that some of them are haunting their house.","Aidan Devine,Ava Preston,Jess Salgueiro",
457943,Slaughterhouse Rulez,An illustrious British boarding school becomes a bloody battleground when a mysterious sinkhole appears at a nearby fracking site unleashing unspeakable horror.,"Finn Cole,Asa Butterfield,Hermione Corfield",
426249,Lords of Chaos,A teenager's quest to launch Norwegian Black Metal in Oslo in the 1990s results in a very violent outcome.,"Rory Culkin,Emory Cohen,Jack Kilmer",
489891,ãƒ©ãƒ—ãƒ©ã‚¹ã®é­”å¥³,"An environmental analyst is asked by the police to determine if two deaths by hydrogen sulfide poisoning are an accident - or a murder. But when he meets a young woman at both sites, a scientific mystery begins.","Sho Sakurai,Suzu Hirose,Sota Fukushi",Takashi Miike
461767,Canaries,The first wave of an alien invasion coincides with a New Years Eve party in a Welsh valley.,"Robert Pugh,Hannah Daniel,Kai Owen",
506068,Living Space,"College sweethearts Brad and Ashley venture into the heartland of Germany. Their romantic holiday takes a sinister turn when encountering a German SS Officer, thrusting them into a psychological vortex revealing there is not always life in a 'Living Space'.","Georgia Chara,Leigh Scully,Andy McPhee",
399611,The Unseen,"A man, who years earlier mysteriously abandoned his family and isolated himself in a small northern town, returns for one last chance to reconnect with his troubled daughter. When she goes missing, he risks everything to find her, including exposing the fact that he is becoming invisible.","Aden Young,Camille Sullivan,Julia Sarah Stone",
492713,Nereus,"During a visit to friends, Sara begins having visions and is attacked by an unearthly creature in her friendâ€™s swimming pool; she soon discovers that anyone who comes into contact with the water is in danger and she is driven to confront the mystical and malevolent creature lurking in the depths","Itziar Martinez,Dennis Mencia,Raul Walder",Georges Padey
555479,Le Funeste Destin du docteur Frankenstein,"In 1818, Mary Shelley wrote Frankenstein; or, The Modern Prometheus, a powerful and timelessness novel which eternal theme is nothing other than man's quest for the secret of life. Since then, the Creature became a pop culture icon, overshadowing the novel and Doctor Frankenstein himself.","BÃ©atrice ChÃ©ramy,Angela Wright,Christopher Frayling",Jean Froment
462593,Los olvidados,"EpecuÃ©n was one of the most important touristic villages of Argentina. Thousands of people concurred, attracted by the healing properties of its thermal waters. On November 10th 1985, a huge volume of water broke the protecting embankment and the village was submerged under ten meters of salt water. EpecuÃ©n disappeared. Thirty years later, the waters receded and the ruins of EpecuÃ©n emerged exposing a bleak and deserted landscape. The residents never returned.  The plot revolves around a group of young people that take a trip to the ruins in order to film a documentary about EpecuÃ©n. Ignoring the warnings, and after a brief tour, they get stranded in the abandoned village. Contrary to what they thought, they begin to realize that they are really not aloneâ€¦","Paula Brasca,Mirta Busnelli,Victoria Maurette",
495015,Post Human: An Event,"A young woman returns to the secluded, abandoned psychological research facility where her deceased mother once worked. Accompanied by three friends, she discovers that the ghosts of the past have found their way to the present when the hospital's legacy of experimentation and madness tears away all known bounds of time, memory and space.","Anya Korzun,Danielle Arden,Andrew Jardine",Luke Gietzen
550273,Boo!,A torn suburban family refuses to heed the warning of an innocent prank left upon them which causes an unknown supernatural force to wreak havoc.,"Aurora Perrineau,Jill Marie Jones,Jaden Piner",
532649,Book of Monsters,"Sophie's 18th birthday becomes a bloodbath when monsters descend upon her house, devouring the guests and killing anyone who tries to leave. To survive the night, Sophie must face her destiny: monsters are real and she's the only one who can stop them.","Lyndsey Craine,Michaela Longden,Lizzie Stanton",
590164,Mercy Black,"A woman is sent to a mental institution after stabbing her classmate in an attempt to conjure an evil spirit called, Mercy Black. Fifteen years later she's released, and must save her nephew, who has become obsessed with the phenomenon.","Daniella Pineda,Austin Amelio,Elle LaMont",
524787,The Russian Bride,"A Russian woman travels to America with her daughter to marry a reclusive billionaire offering them a better life, but soon begins to suspect her new husband might have a far more sinister plan for their arrangement.","Corbin Bernsen,Oksana Orlan,Kristina Pimenova",
436549,The Field Guide to Evil,"A feature-length anthology film. They are known as myths, lore, and folktales. Created to give logic to mankindâ€™s darkest fears, these stories laid the foundation for what we now know as the horror genre.","Marlene Hauser,Luzia Oppermann,Karin Pauer",Ashim Ahluwalia
514547,White Chamber,"The United Kingdom. Soon. Civil war rages. A woman wakes up in a blindingly white cuboid cell. Using its sophisticated functionality, her captor tortures her for information; information she claims not to have - or does she?","Shauna Macdonald,Oded Fehr,Amrita Acharia",
532671,The Prodigy,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,"Taylor Schilling,Jackson Robert Scott,Colm Feore",Nicholas McCarthy
